Food_Code,Ingredient_Num,FCID_Code
11433000,6,1301320000
11433000,7,1302057000
11433000,8,1307359000
11433000,9,2402023000
11433000,10,3600222000
11433500,1,3600224000
11433500,2,3600223000
11433500,3,1201090000
11433500,4,1202260000
11433500,5,1301320000
11433500,6,1302057000
11433500,7,1307359000
11433500,8,2402023000
11433500,9,3600222000
11445000,1,3600224000
11445000,2,1500124000
11445000,3,3600223000
11445000,4,3600222000
11445000,5,1201090000
11445000,6,1202260000
11445000,7,1301320000
11445000,8,1302057000
11445000,9,1307359000
11445000,10,2402023000
11446000,1,3600224000
11446000,2,1500124000
11446000,3,3600223000
11446000,4,3600222000
11446000,5,1201090000
11446000,6,1202260000
11446000,7,1301320000
11446000,8,1302057000
11446000,9,1307359000
11446000,10,2402023000
11459990,1,3600224000
11459990,2,3600223000
11459990,3,9500362000
11459990,4,101052000
11459990,5,3600222000
11459990,6,9500110000
11460000,1,3600224000
11460000,2,3600223000
11460000,3,9500362000
11460000,4,101052000
11460000,5,3600222000
11460000,6,1201090000
11460000,7,1202260000
11460000,8,1301320000
11460000,9,1302057000
11460000,10,1307359000
11460000,11,2402023000
11460000,12,1002199000
11460000,13,1902354000
11460000,14,9500110000
11460000,15,9500115000
11460000,16,9500116000
11460000,17,9500218000
11460100,1,3600224000
11460100,2,3600223000
11460100,3,9500362000
11460100,4,101052000
11460100,5,9500110000
11460100,6,3600222000
11460150,1,3600224000
11460150,2,3600223000
11460150,3,9500362000
11460150,4,101052000
11460150,5,3600222000
11460150,6,9500110000
11460160,1,3600224000
11460160,2,3600223000
11460160,3,9500362000
11460160,4,101052000
11460160,5,9500110000
11460160,6,3600222000
11460170,1,3600224000
11460170,2,3600223000
11460170,3,9500362000
11460170,4,101052000
11460170,5,3600222000
11460190,1,1500124000
11460190,2,3600223000
11460190,3,9500362000
11460190,4,101052000
11460190,5,3600224000
11460190,6,3600222000
11460190,7,3400292000
11460190,8,3100046000
11460200,1,3600224000
11460200,2,3600223000
11460200,3,9500362000
11460200,4,101052000
11460200,5,9500110000
11460200,6,3600222000
11460250,1,3600224000
11460250,2,1500124000
11460250,3,3600223000
11460250,4,7000147000
11460250,5,9500362000
11460250,6,3600222000
11460250,7,101052000
11460250,8,1201090000
